"1151835707058610176","87922339","Rothamsted Research","Rothamsted"
"1043520707920109573","2963999133","Simon Evans","bettwsresident"
"1131261312363839489","94385477","PilgrimChris","PilgrimChris"
"571286267465474048","87922339","Rothamsted Research","Rothamsted"
"1080855501053796352","69355551","Oxford Farming Conf","oxfordfarming"
"1037358352718647296","87922339","Rothamsted Research","Rothamsted"
"976453931382558720","16891107","foodlog.nl","foodlog_nl"
"904735276551077890","3341301681","Jeremy LeLean","JeremyLelean"
"807009380562386944","18073623","GuinnessWorldRecords","GWR"
"1147091565116104704","2762875911","Sir Creaky","Sir_Creaky"
"807157589045870593","18073623","GuinnessWorldRecords","GWR"
"1001003986370080768","2711545020","Edward Dickin","naked_barley"
"1006918723414974465","87922339","Rothamsted Research","Rothamsted"
"448415782964576256","580940126","GM Education","gmeducationorg"
"999220131552165888","4727331819","Jackie Stroud","wormscience"
"1008658195626291200","933295900927102976","Rothamsted eRAdoc","Rothamsted_docs"
"905081561074237441","87922339","Rothamsted Research","Rothamsted"
"959117099187744768","2674045985","Mark Bradford","bradfordlab"
"976453931382558720","797009554479480833","FarmersUnited","FarmersUnitedNL"
"1004343292979568641","87922339","Rothamsted Research","Rothamsted"
"992314339494264833","87922339","Rothamsted Research","Rothamsted"
"985578769405575169","108145016","Tom Allen-Stevens","tomallenstevens"
"1141565072118112256","1055186876","JP","monkeyjodey"
"959117099187744768","71051575","Yale F&ES","YaleFES"
"1151560607897935873","87922339","Rothamsted Research","Rothamsted"
"1090310500196511744","352246085","Máire Devine","MtTreanor"
"839422048892043265","20710359","Partij voor de Dieren","PartijvdDieren"
"1163750526720368640","87922339","Rothamsted Research","Rothamsted"
"977470146070577152","1098159656","Richard Harper","RichardHarper17"
"861984664805941248","2201032880","RothamstedEnterprises","RothamstedCRE"
"1136641672480210945","87922339","Rothamsted Research","Rothamsted"
"985578769405575169","330865303","The Barker Boys","The_Barker_Boys"
"772751715724656640","87922339","Rothamsted Research","Rothamsted"
"16267748375","141313538","Officially Broken","Justakittie"
"1008658195626291200","87922339","Rothamsted Research","Rothamsted"
